"","COUNTRY","Agricultural.Land....","Land.Area.Km2.","Forested.Area....","X2023","Population","Import..US..Thousand.","landlocked","Avg_21_23","invasive_count"
"82","Liberia",28,"111,369","43.10",3070518100,4937374,1717891.97,"NO",3526855083.33333,10
"83","Libya",8.7,"1,759,540","0.10",52076250948,6777452,33958278.26,"NO",45875670308.3333,32
"84","Lithuania",47.2,"65,300","34.80",54219315600,2786844,33713173.3,"NO",63656203200,84
"85","Luxembourg",53.7,"2,586","35.70",71104919108,645397,19331797.55,"YES",79628658397.6667,19
"86","Madagascar",71.2,"587,041","21.40",14083906357,26969307,3334517.01,"NO",14531209358.6667,74
"87","Malawi",61.4,"118,484","33.20",7666704427,18628747,996042.85,"YES",11144568726,56
"88","Malaysia",26.3,"329,847","67.60",364701517788,32447385,417142772.68,"NO",381329505154,34
"89","Maldives",26.3,"298","3.30",5729248472,530953,261326.26,"NO",5774890347.33333,31
"90","Mali",33.8,"1,240,192","3.80",17510141171,19658031,9413395.57,"YES",18548927069.6667,14
"91","Malta",32.4,"316","1.10",14786156563,502653,5556461.28,"NO",16764934259,55
